코드	파일수	기정독동일계열	원료명
611621	6	0	ORANGE BLOSSOM-22W
611636	5	0	[PF]AUTUMN WINE CSN033500
611668	6	0	OLIVEM 800
611678	6	0	SKIN CARE NA 03111
611686	6	0	Multicare-Plus
611700	6	0	RISOCAST ODSHS
611753	6	0	율무껍질추출물(HD)
611789	6	0	ACULYN 38
611803	6	0	SOY EXTRACT(HD)
611819	5	0	FLORAL WOODY 7P06457 (HICC FREE)
611871	5	0	ONE TIME AF 36438G
611900	6	0	SKIN CARE NA11753
611954	6	0	허니서클추출물-GS
610015	3	0	ALPAFLOR EDELWEISS
610032	4	0	ALOE EXTRACT SOLUTION(P)
610035	4	0	알로에 추출물 솔루션2(P)
610040	3	0	아쿠아-앰플 COMPLEX
610057	4	0	ATL Q10 Coasphere-4(N.MCT)
610117	4	0	브라이트닝더블콤플렉스
610124	4	0	BABY CODE
610129	3	0	BEET ROOT EXTRACT (P)
610144	4	0	분꽃 EXTRACT(HD)
610189	3	0	카라멜분말2호
610190	3	0	크리스탈 워터
610196	4	0	CS-JEJU HORSE FAT
610206	4	0	CUCUMBER EXTRACT SOLUTION (P)
610209	4	0	CITRUS LIMON(LEMON) EXTRACT SOLUTION(P)
610210	4	0	CITRUS LIMON (LIMON) JUICE
610227	4	0	CUCUMBER EXTRACT(P)
610235	4	0	콜라겐-앰플COMPLEX(H)
610237	3	0	콜라겐-마스크COMPLEX(H)
610244	3	0	CHAMOMILLA RECUTITA (MATRICARIA) FLOWER WA
610246	3	0	Citrus Unshiu Peel Extract(P)
610286	3	0	CAMELINA SATIVA SEED OIL, COLD PRESSED
610292	3	0	코코넛
610323	3	0	대나무수추출물(P)
610337	3	0	DIGITAL PINK
610338	4	0	9001D
610339	4	0	7401D
610370	4	0	EMALEX MTS 15L
610406	4	0	가르시니아추출물
610419	3	0	GOLD KIWI EXTRACT(P)
610440	3	0	GLYSURF 10ML
610441	3	0	GLYSURF 10MM
610450	3	0	HYDROLYZED COLLAGEN EXTRACT(돈피콜라겐 추출물)
610459	3	0	효모복령발효추출물
610461	3	0	황금 누에고치 추출물-PA
610512	4	0	INOSITOL
610520	3	0	지장수
610551	3	0	죽순추출물
610564	3	0	KOREAN PINE SEED OIL
610589	3	0	레몬 추출물 솔루션2(P)
610591	4	0	레몬버베나꽃 EXTRACT(HD)
610592	3	0	라인 마이너스 콤플렉스
610593	4	0	LUMI IN POWDER
610594	3	0	LINE MINUS COMPLEX(H)
610600	3	0	라벤더오일
610609	3	0	LUSPAN PI-DA
610624	4	0	MOIST 24
610646	3	0	모공-앰플COMPLEX(H)
610647	3	0	모공-마스크COMPLEX(H)
610651	4	0	MAGCHROM S-7601C
610657	4	0	MICRO CRM
610695	3	0	녹차수
610696	4	0	뉴질랜드산양유추출물
610719	4	0	NBT TIO2C
610723	4	0	제주녹차파우더GB2000
610726	4	0	NLFG HOLO SILVER STAR 4901 (ECO GLITTER-14
610727	4	0	NLFG HOLO PINK STAR 4912 (ECO GLITTER-95)
610728	4	0	NLFG HOLO SILVER 4901 062 HEX (ECO GLITTER
610733	3	0	ORGANIC REFINED DEODORISED ARGAN OIL
610734	3	0	ORGANIC REFINED SHEA BUTTER
610755	4	0	오이추출물-WHD
610767	3	0	PEARL POWDER
610769	3	0	PHYTO FERMENT EXTRACT(식물성 발효 추출물)
610786	4	0	페퍼민트수
610788	3	0	PORE DOWN COMPLEX(H)
610799	4	0	파슬리엑스(KQC)(HD)
610840	3	0	ROSE EXTRACT SOLUTION(P)
610864	4	0	수분마스크(COMPLEX)
