코드	파일수	기정독동일계열	원료명
610354	34	0	동백꽃추출물
610439	34	0	GlucanREAL
610490	34	0	Hyalpol Matrix
610554	34	0	KONLUB DR-701C
610570	34	0	KUNIPIA G
610682	34	0	MORINGA OLEIFERA SEED OIL
610822	34	0	PROBIOTIC COMPLEX (HD)
611188	34	0	COLLAGEN HYDROLYZED I PERFORMANT FISH TYPE
611499	34	0	대나무수-HD
611555	34	0	Ultrez 20
611619	34	0	WELYCARE ATBS
611982	34	0	PHYTO COLLAGEN(HD)
610154	33	0	BETA-GLUCAN(HD)
610253	33	0	초유 EXTRACT(HD)
610341	33	0	다마스크장미꽃수W(HD)
610623	33	0	우유단백질추출물
610729	33	0	Neossance Hemisqualane
610824	33	0	팥파우더(20-40)
610896	25	1	SWEET ALMOND OIL REFINED
610935	33	0	SJ-UNIJEL OIL(H)
611092	33	0	비타민나무열매추출물 (대한민국, 국내제조로 HS Code제공어렵다함)
611512	33	0	Puramex Zn
611591	33	0	알로에베라잎즙-HD
611593	33	0	티트리잎(24mesh 이하)
611764	33	0	SLLS NG
611775	33	0	녹차수-HD
611847	33	0	약쑥추출물
611933	33	0	코코넛야자열매추출물
610123	32	0	BAOBAB EXTRAT(HD)
610170	32	0	BRILLIAN-CSA (Capryloyl Salicylic Acid)
610417	32	0	GLUCAM E-20
610442	32	0	GNO-Pearl G
610483	32	0	화이트윌로우껍질추출물(L.H)
610534	32	0	JEJU ALOE EXTRACT(HD)
611071	32	0	유칼립투스추출물(H)
611241	32	0	CAMELLIA-99W
611501	32	0	대나무추출물
611510	32	0	데이지꽃추출물
611511	32	0	인도멀구슬EXTRACT(HD)
611597	32	0	IndiEster DSM
611883	24	1	AQUA TOCOPHEROL (10%)
611977	32	0	KAK 99
610027	31	0	AN 3 MARINE COMPLEX
610061	31	0	ARGAN OIL ORGANIC
610131	31	0	백차추출물(H)
610503	31	0	홍삼 Extract(HD)
610536	31	0	자작나무수액PE(ECO)
610552	31	0	진주추출물-NP
610568	31	0	KF 96A-6CS
610572	31	0	KELCOGEL
610700	31	0	녹차추출물(PF)
610718	31	0	NSG-L
610753	31	0	OLIFEEL TD 7525
610810	31	0	PMX 1184-Fluid
610836	31	0	r-PGA(CS γ-PGA)
610917	31	0	S.O.S-20
610950	31	0	SJ-UNIJEL MS(H)
610973	31	0	SALACOS 5408
611004	31	0	석류추출물
611007	31	0	Sepicalm™ VG WP
611017	31	0	SENSITIVE MOISTURE COMPLEX (2)
611111	31	0	WECOBEE® S (단종-사용금지처리)
611298	31	0	FLORAL 17 NAT
611519	31	0	TRIETHYL CITRATE(TEC)
611570	31	0	EMEREX EH 2660
611627	31	0	PULLULAN DUOLUX CM
611726	23	1	LACTOBIONIC ACID
611755	31	0	MUNG 1161
611761	31	0	DEEP-TOX PACK POWDER(2)
611881	31	0	BLUEBERRY-81W
610176	30	0	CARBOPOL941
610234	30	0	CHOLESTEROL JSQI(구, CHOLESTEROL JP 구구 CHOL
610242	30	0	CETIOL HE
610269	30	0	CLOISONNE GOLD (222C)
610397	30	0	FUCOIN-1000
610460	30	0	황금 추출물
610494	30	0	HA-SOLUTION HD(0.5%)
610722	30	0	NATROSOL 250 HR
610763	30	0	FOAMYSENSE™ 205 Polymer
610775	30	0	페퍼민트 추출물
610866	30	0	SINARFA1499(PALMAC 98-14)(MYRISTIC ACID)
610921	30	0	수박 EXTRACT (HD)
611060	30	0	TORNARE
611185	30	0	JEWELRY COMPLEX
611191	30	0	히말라야핑크솔트
611526	30	0	RICE-740W
611631	30	0	SEA GRAPE EXTRACT
611633	22	1	FRAGRANCE F1600573
611746	30	0	블랙커민씨오일인퓨전(1%)
611884	17	2	A-CAP Pink
610335	29	0	DOW CORNING FB-9586
610389	29	0	파파야추출물
610404	29	0	GLUTATHIONE. REDUCED
610418	29	0	갈락토미세스발효여과물-WP
610458	29	0	HG-407
610496	29	0	해양심층수(HD)
610521	29	0	제주용천수(용암해수)
610652	29	0	Multi Seaweed Complex (HD)
610667	29	0	마린 발효 콤플렉스(HD)
610749	29	0	OLIWAX LC
610768	29	0	KERAPLANT NPNF
610782	29	0	PVP K-30
610809	29	0	PVP K-90 (제조사 구분)
610924	29	0	STRUCTURE XL
610974	29	0	SAFEELIA SC-250TP
611068	29	0	유채꿀추출물
611505	29	0	Flexan II
611525	29	0	위치하젤수(HD)
611682	29	0	레드프로폴리스추출물
611695	29	0	Green Energy Complex(H)
611748	29	0	다시마추출물-LP
611779	29	0	선인장EXTRACT(L)(HD)
611832	29	0	COVASTYLE MBS
611903	29	0	AN자작나무수액 HD
611944	29	0	CERACARE H40EX
611996	29	0	MARINE COLLAGEN EXTRACT
610109	28	0	브로콜리 추출물
610283	28	0	DS-CERAMIDE Y3O
610353	28	0	DERMOFEEL GSC
610374	28	0	Emalex GWIS-320EX
610377	28	0	ELDEW PS-203
610423	28	0	갈조류 Complex(HD)
610446	28	0	Green A50 Base
610510	28	0	I.P.P
610533	28	0	JEJU LEMON EXTRACT(HD)
610611	28	0	락토바실러스 콩발효추출물
610659	28	0	MONTANOV 202
611392	28	0	PEPPERMINT OIL
611583	28	0	CELTOSOME Crithmum maritimum
611659	28	0	HAPPY VITA(유자)
611683	28	0	영지 Extract(HD)
611727	28	0	ACQUACELL
611800	28	0	CM PRECIDE-3(EWG)
611813	28	0	HONEY5089
611978	28	0	PolyAquol™-VO4
611999	28	0	위치하젤잎수
610059	27	0	A2P CONTROL-500(NC)
610081	27	0	어성초EXTRACT(HD)
610126	27	0	바이오미메틱 플루이드 티어스
610130	27	0	백련초 Extract(HD)
610158	27	0	백설탕
610168	27	0	블루베리 Extract(L)(HD)
610388	27	0	FATTY ALCOOL 1899(C1899)(스테아릴알코올)
610890	27	0	10-SEED OIL
611095	27	0	위치하젤추출물
611190	27	0	Vita 8 Complex(HD)
611248	27	0	DR 3 NAT MSDS 수정파일(최종)
611321	27	0	GERANIUM OIL
611544	27	0	블루아가베 EXTRACT(HD)
611557	27	0	TMF-1.5
611615	27	0	Green Vital Energy Complex(HD)
611647	27	0	HYDSOL-H6
611724	27	0	박하추출물
611760	27	0	녹두 EXTRACT(HD)
611766	27	0	DECORINYL functional ingredient A
611790	27	0	SKIN CARE NA 09602
611807	27	0	CAMPO SIDDHA NEER KATTHARI_VIOLET(WSL)
611812	27	0	BALANCE RCFg
611816	27	0	PACK GS95238
611874	27	0	SIMULGEL FL
611929	27	0	GLYCO-REPAIR BS
610097	26	0	BEES WAX
610248	26	0	CAPCOLORS CV-WSS
610368	26	0	EN 5 COMPLEX-CH
610379	26	0	Effipulp
610408	26	0	SRX-7 H
610481	26	0	HEXYLENE GLYCOL
610497	26	0	하와이 화산재 Extract(HD)
610531	26	0	JEJU CUCUMBER WATER(HD)
610537	26	0	제주 알로에 추출물
610655	26	0	막걸리 Extract(HD)(CH)
610925	26	0	SPHERICA P-1500
611021	26	0	TEA
611090	26	0	VITA10SOME-WO
611093	26	0	VEGEX® Lutein WSC50 Liquid
611364	12	2	LEMON OIL
611523	26	0	SELA EA-999
611529	26	0	SAKE Extract (HD)
611539	26	0	PONCIRUS EXTRACT
611543	26	0	Derma-Idebesome 2%
611586	26	0	KF-56A
611624	26	0	오이 Extract(HD)
611637	26	0	OLIVEM 900
611665	26	0	LYCOPENE COMPLEX
611694	26	0	누에고치추출물(H)
611714	26	0	CAMPO SIDDHA KARUSHALAI YENAI_ NATURAL BRO
611773	26	0	MICRO CRM-EWG
611843	26	0	SKIN CARE S1901593
611853	26	0	CHLO 3457
611863	26	0	아이슬란드빙하수(HD)
611937	26	0	햄프씨드오일(L)
611985	26	0	JEECHEM NDA-HC
610092	25	0	병풀추출물
610174	25	0	BIO EXTENSIN(HD)
610249	25	0	CAMPO SIDDHA INDRA NEELAM YENAI(블루)
610373	25	0	NF-ESTER EHS
610567	25	0	KF-6017
610632	25	0	MONTANOV 68
610694	25	0	NOVEC HFE7100
610852	25	0	REWODERM® LI S 80
610858	25	0	Red A40 Base
610863	25	0	RISONOL 20SP
610899	25	0	사탕수수 추출물-GS
610976	25	0	SYN-AKE
611110	25	0	월계수잎 Extract(HD)
611115	25	0	연어알추출물
611378	25	0	MANDARIN OIL
611417	25	0	ROSE NAT MIX
611466	25	0	SKIN CARE RA10357
611495	25	0	SUNSOFT M-12JW
611527	25	0	쌀배아 Extract(HD)
611554	25	0	탄제린추출물-GS
611571	25	0	MICONATE LES(H)
611664	25	0	울릉도 해양심층수(HD2)
611685	25	0	CARRAGEENAN WG-3(카라기난)
611696	25	0	SunEther L-4
611701	25	0	EWG GREEN 5 Oil COMPLEX
611709	25	0	SIMULGEL NS
611716	25	0	SEPIMAX ZEN
611722	25	0	PARAFFIN WAX
611756	25	0	녹두가루300
611778	25	0	홍차수(SL-HD)
611804	25	0	LEMO4512
611833	25	0	토마토추출물 HD
611889	25	0	홍차수(SL-HD)
611911	25	0	SKIN CARE S1901588
611912	25	0	TINOSORB S
610002	24	0	ADEKA NOL GT-700
610085	24	0	ARLACEL 2121
610089	24	0	브라이트닝마스크(complex)
610112	24	0	바나나추출물
610369	24	0	ECM-5(HD)
610470	24	0	본소금(한주소금) (620348_한주소금)
610472	24	0	효모발효여과물
610484	24	0	HerbEx Resveratrol 0.5TM
610547	24	0	자소엽 Extract(HD)
610587	24	0	로얄제리 추출물
610619	24	0	MICOPOL LDE
610654	24	0	액상카라멜
610817	24	0	PHYCOSACCHARIDE APG
610883	24	0	SHEA BUTTER REFINED
610942	24	0	쌀겨 EXTRACT(HD)
610949	24	0	세이지엑스(KQC)(HD)
611366	24	0	LAVENDER OIL
611520	24	0	BUBBLE COMPLEX
611553	24	0	BIOTILYS(NAT)
611573	24	0	Evening Primrose Infused Oil
611607	24	0	VITA COMPLEX 10(AN)
611623	24	0	MOTHER HUG CSN018446
611650	24	0	MAP
611711	24	0	ABIL WAX 9800
611723	24	0	라즈베리추출물
611757	24	0	YELLOW A30 BASE
611772	24	0	HB-PCG
611776	24	0	[PF]GREEN TEA 2 NAT
611851	24	0	Natural Blue EX
611886	24	0	FMT 2 COMPLEX
611914	24	0	SKIN CARE S1801874
611953	24	0	FULL MOIST(HD)
611983	24	0	CHIA SEED COLLAGEN
611989	24	0	프룩토올리고사카라이드 JHD
610076	23	0	아보카도추출물(HD)
610149	23	0	백단향 Extract(HD)
610256	23	0	CORUM 5117
610295	23	0	CALCIUM CHLORIDE
610359	23	0	드럼스틱나무씨 EXTRACT(HD)
610489	23	0	히비스커스 Extract (HD)
610491	23	0	Hyapol Matrix-HD
610535	23	0	제주 동백 오일
610541	23	0	장미추출물
610544	23	0	JEJU 비트추출물(HD)
610709	23	0	NCOS PLANTS COMPLEX(H)
610724	23	0	NATURAL WAX JELLY(PC-511)
610739	23	0	올리브 추출물
610814	23	0	ISOSTEARIC ACID EX
610994	23	0	Squeeze Pink Complex(HD)
611002	23	0	SALACOS 3318
611044	23	0	TRUFFLE EXTRACT(HD)(송로버섯)
611192	23	0	BN B
611244	23	0	DEBORAH SC
611322	23	0	GRAPEFRUIT OIL
611325	23	0	Greenery Day CSN031543
611550	23	0	인삼수(HD-3)
611592	23	0	어성초 파우더 (10~40mesh)
611703	23	0	VELVESIL 034
611741	23	0	ULTRA-VENTILATED SEA CLAY-변경 Lutum47 CA
611758	23	0	SKIN CARE S1801205
611768	23	0	AQUA-805W
611809	23	0	100% Nat. Rosemary Oil
611880	23	0	ESSENCE-515M
611891	23	0	SKINCARE NA08608
611915	23	0	푸른연꽃추출물
611916	23	0	수소수(HD2)
611919	23	0	GREEN 3 COMPLEX
611931	23	0	BIOECOLIA
610140	22	0	BERACLAY BLACK
610215	22	0	초정탄산수-HD
610233	22	0	CALENDULA-MF-NP
610250	22	0	CAMPO SIDDHA MANJAL YENAI(옐로우)
610285	22	0	치자추출물(Y)
610307	22	0	Calming dressing(HD)
610344	22	0	동백꽃 EXTRACT(HD)
610346	22	0	DRAGOSINE
610376	22	0	의이인엑스(KQC)(HD)
610513	22	0	I.P.M
610725	22	0	녹차수(HD)
610740	22	0	오지탕
610902	22	0	SK-INFLUX V
610962	22	0	SILSOFT 034
610964	22	0	SYN-HYCAN
610977	22	0	3 HERB COMPLEX
611066	22	0	U-ACTIVE AB
611096	22	0	윈터그린잎추출물
611124	22	0	연근추출물
611196	17	1	AQUA HOLIC-594W
611599	22	0	SHEA BUTTER PRESSED AND REFINED
611651	22	0	Microsafe HBO
611763	22	0	SCS Sol.(H)
611795	22	0	KODANOL D
611850	22	0	KOMBUCHA(HD)
611921	22	0	쑥추출물 J
611939	22	0	Bright Oleoactif
611951	22	0	AMP ULTRA PC 1000
611975	22	0	SUNSOFT Q-8H-C
610020	21	0	ABIL EM 90 (220302-자료전체적으로 다시받아야함)
610060	21	0	아쿠아포린컴플렉스
610077	16	1	AQUA SHEA BUTTER-IT
610262	21	0	캐럽콩추출물(H)
610294	21	0	클로로필 추출물(파슬리)
610334	21	0	대나무 숯 분말
610519	21	0	자몽추출물
610580	21	0	KAK 109
610639	21	0	망고추출물
610678	21	0	MOISTSOME-ANC
610710	21	0	Green Tea Powder(녹차가루,녹차분말)
610774	21	0	업무연락 _ Proteol APL 자료 첨부의 건(개정)
610794	21	0	PURACAL PPFCC
610820	21	0	Pink Complex(H)
610876	21	0	석류추출물
610884	21	0	SF1000N-5CS(SERASENSE SF5)
610889	21	0	산양유 추출물
610968	21	0	SENSITIVE MOISTURE COMPLEX
611031	21	0	토마토추출물
611187	21	0	콜라겐 수
611189	21	0	노르데나우수-WP
611344	21	0	HERMIN 9767
611531	21	0	유기농병풀추출물 (HD)
611577	21	0	FRAG-44296
611611	21	0	프랑스라벤더꽃수-HD
611638	21	0	CS-CHARCOAL 350NP
611684	21	0	Refinded LBG #33038
611693	21	0	누룩발효COMPLEX7
611721	21	0	FMT 3 COMPLEX
611759	21	0	감잎 EXTRACT(HD)
611783	21	0	Who History A CSN038627
611862	21	0	CICA BIOME™(H) (비건불가-Vegan X)
611865	21	0	CACAO CHOCOLATE HP-Al28554
611895	21	0	OMEGA369-ANC
611908	21	0	PARSOL EHS
611972	21	0	MAGNOLIA-1067W
610045	20	0	ALOE WATER(H)(HD)(국내용)
610064	8	2	AMILITE GCK-12
610073	15	1	AQUA 6CS
610156	20	0	BIO PROTECTOR
610225	15	1	COSMI KC306
610263	20	0	Chia Seed Extract(HD)
610277	20	0	C-10.000P-WS-AP
610290	20	0	CM PRECIDE-3(AT-NPC PLUS)
610318	20	0	당귀추출물
610371	20	0	EGS-D
610405	20	0	검정콩 추출물
610435	20	0	강황 Extract(HD)
610445	20	0	Gransil 530
610466	20	0	호장근추출물
610473	20	0	홍조류 COMPLEX (HD)
610498	20	0	황백추출물(H)
610585	20	0	LECIGEL
610588	20	0	로즈힙 추출물
610677	20	0	MARINE COLLAGEN H2000
610773	20	0	PG-F (PROPYLENE GLYCOL)
610919	20	0	새삼씨추출물
610951	20	0	SK-SIL 5000
610952	20	0	SOFTSAN 378
610972	20	0	Salacos DG-180
610997	20	0	Squeeze Green Complex(HD)
611076	20	0	USC1994-LS(USC-K)
611086	20	0	VITACEL CS 150F
611087	20	0	VEEGUM R
611112	20	0	XIAMETER PMX-1501
611216	20	0	BLOSSOM DEWY CSN008606
611330	20	0	HONEY CLEAN FR1006999
611337	20	0	Feeling Story CSN053662
611361	7	2	LEMON NAT
611498	20	0	SKIN CARE EA 09505 - 아로마라인
611500	20	0	대나무잎추출물
611540	20	0	AQUASIL OIL ARGAN
611596	20	0	FLORAESTER 60
611609	20	0	다마스크장미꽃수-HD
611626	20	0	벚꽃추출수-HD
611715	20	0	CAMPO SIDDHA KARUM KARUPPU YENAI DARK BLAC
611720	20	0	파인애플 추출물
611732	20	0	KONION PEG-400
611747	20	0	Potassium Chloride
611762	20	0	수용성프로테오글리칸-GS (Natural Solution)
611792	20	0	수분초추출물 HD
611842	20	0	KSG-210
611858	20	0	ROSE EVELYN-598B
611910	20	0	SANGELOSE 90L
610986	14	1	Snail Secretion Filtrate(J)(HD)
611102	14	1	WHITE FLOWER COMPLEX 10 VCLE(HD)
611660	14	1	AQUA 15 NAT
611091	13	1	Vitamin F glyceryl ester
611918	12	1	FRAGRANCE A97058
611517	11	1	BODY CARE GS75090
611997	11	1	SODIUM HYDROXIDE BEAD 98%
610030	10	1	AQUA TOUCH L
610082	19	0	ACT RED COMPLEX 8 (조성비 Red Ginseng Root로 변
610162	19	0	BLACK COMPLEX (HD)
610297	19	0	참마뿌리 추출물 (HD)
610382	19	0	EARTH MARINE WATER G
610385	19	0	EMULFREE CBG MB
610538	19	0	제주 참미역(EXTRACT)(HD)
610596	19	0	LEXFEEL SHINE
610601	19	0	L-MENTHOL
610633	19	0	마누카꿀추출물-W
610658	19	0	MADECASSOSIDE 100ppm
610671	19	0	MANDARIN EXTRA
610716	19	0	NEUROLIGHT. 61G
610720	19	0	NOVETHIX™ L-10 POLYMER
610758	19	0	ORIENTAL DEW DROP
610837	19	0	REFINED ROSEHIP OIL
611058	19	0	Talox BL 100P
611329	19	0	HP-316819(딸기향) (토니모리집나간딸기씨-알러젠프리X)
611401	19	0	PACK GS74694
611405	19	0	PACK GS74685
611469	19	0	SKIN CARE S1800811
611487	19	0	YLANG OIL
611504	19	0	15 GREEN COMPLEX
611521	19	0	숯가루 솔루션-HD
611528	19	0	HYDROLYZED RICE PROTEIN (HD)
611562	19	0	GRANSIL VX-406
611563	19	0	Glycacid ECO
611566	19	0	노니추출물
611601	19	0	SMART LC BASE
611630	19	0	RISH 2952
611649	19	0	FRAG-89716
611655	19	0	죽순 추출물-AN
611670	19	0	수박추출물(초저온)
611740	19	0	SEPIGEL 305
611782	19	0	HAN-803W
611823	19	0	노니열매 Extract(L)(HD) (코딩번호 변경됨 이전 611806)
611875	19	0	SKIN CARE NA 09846
611897	19	0	LAVENDER-646B
611943	19	0	SILSHINE 150
611980	19	0	Very Berry Complex
610014	18	0	AMAZONIAN WHITE CLAY
610143	18	0	블랙커런트열매 EXTRACR(HD)
610159	18	0	Butterfly Pea Extract (AG)
610214	17	0	치자홍화추출물-BS
610232	17	0	CENTELLA ASIATICA_납품처 에이스바이오팜 상호명 변경
610238	18	0	차가버섯 EXTRACT(HD)
610254	17	0	CACAO EXTRACT(L)(HD)
610255	18	0	CARBOPOL934
610261	17	0	캐비어추출수-HD
610264	17	0	CHERRY EXTRACT(HD)
610272	17	0	COLOR BASE #01
610293	18	0	클로로필 추출물(아보카도)
610358	18	0	DB-AN Complex II(H)
610384	17	0	Emalex GWIS-108
610412	18	0	GRAINFRU COMPLEX2
610415	17	0	꽃송이버섯 EXTRACT(HD)
610502	18	0	Herb-AN Complex(HD)
610526	17	0	제주 병풀 추출물
610542	17	0	쟈스민추출물
610574	17	0	KELTROL T-PLUS
610577	17	0	KY-MF-1
610613	18	0	LECINOL S-10
610653	18	0	MULTI WAX
610666	18	0	마카EXT(W)(HD)
610679	18	0	MULTIEX BSASM® PLUS
610681	18	0	Moisture Balance Complex(H)
610743	17	0	오미자 Extract(HD)
610761	18	0	ON-MEDI LINE®(H)
610776	17	0	프로폴리스 추출물
610778	18	0	PHYTOACT COSYPLEX
610937	18	0	쌀겨수(HD)
610948	18	0	SOFTIGEN OIL Barbary Fig Organic (공급중단-600
610987	18	0	스피어민트추출물
610992	17	0	Squeeze Orange Complex(HD)
611012	17	0	Serasol SC 81
611030	18	0	티트리추출물
611065	17	0	유기농알로에베라추출물(켈리포니아 알로에베라 추출물)
611081	18	0	VASELINE(MERKUR 500)
611194	18	0	ACAIBERRY-4W
611267	18	0	FRAG-61290
611418	17	0	SUMMER MARBLE
611490	17	0	Skin Care S1800732
611537	17	0	COTTON EXTRACT WATER-HD
611552	18	0	Phyto Collagen (HD)
611569	18	0	AMINON C-11S
611635	18	0	프랑스산장미수-HD3
611643	18	0	연꽃수(DPG-HD)
611654	18	0	감자 추출물-AN
611679	17	0	매실Extract(HD-AN)
611728	17	0	MC-BNC
611765	18	0	SYN-TC
611767	18	0	ALOE 4P06456R (알러젠 개선 향)
611805	18	0	Betterzyme HD
611817	18	0	SHOWER-348B
611836	17	0	LEMON-503W
611876	17	0	SKIN CARE NA 09401
611888	18	0	PACK GS97174
611894	17	0	PACK GS95241
611898	17	0	Jarret Tea
611906	17	0	DEFENSIL
611920	17	0	SKIN CARE TA02877
611922	18	0	SKIN CARE NA11865
611928	18	0	ERASYAL
611934	18	0	MICROEMULSION COP-345
611949	18	0	BAYCUSAN C 10041
611955	18	0	그린프로폴리스추출물-GS
611984	18	0	낫토검콜라겐
610141	16	0	BEAN COMPLEX(H)
610153	16	0	BLAUNON SO-30TO
610155	16	0	B9-VITAPOL
610194	16	0	키위추출물
610211	16	0	캐비어추출수-PE
610228	16	0	COLORLETS-RED(JAD)(20-30mesh)
610320	16	0	대나무추출물
610343	16	0	닥나무뿌리 EXTRACT(HD)
610378	16	0	2N 콜라겐(GT콜라겐)
610386	16	0	ELFAN AT-84G
610394	16	0	FFS COMPLEX
610469	16	0	해바라기씨 추출물
610474	16	0	흑진주추출물(H)
610499	16	0	흰무늬엉겅퀴추출물
610524	16	0	제주녹차추출물
610584	16	0	LP(LILY 70)
610614	16	0	Lifting dressing(HD)
610660	16	0	MAKIMOUSSE 7
610669	16	0	머드추출물2
610703	16	0	NATURO KP-5
610781	16	0	COLLUPULIN MG(구 PAPAIN T 100)
610803	16	0	PVA-217
610821	16	0	PURASAL S
610825	16	0	팥추출물
610918	16	0	SEA WATER(H)(P)
610926	16	0	생강추출물(H)
611011	16	0	수세미 추출물 NP
611057	16	0	TEGO BETAIN 810
611107	9	1	WHITE A50 BASE
611225	16	0	CITRUS-5410W
611317	16	0	GERANIUM OIL HA-AG15227
611365	16	0	LEMONGRASS OIL
611368	16	0	RASPBERRY-340L
611398	16	0	PEACH-804L
611433	9	1	SWEET HONEY-39W
611465	9	1	SWEET HONEY EL0057474
611492	16	0	ESSENCE-63M
611513	16	0	GRANPOWDER LUMIERE DP
611608	16	0	에델바이스추출물-DS
611640	16	0	블랙비프로폴리스
611645	16	0	AN-Three Complex(HD)
611646	16	0	AN-Seven Complex(HD)
611653	16	0	오이 추출물-AN
611688	16	0	콰크치즈추출물
611697	16	0	CHEMYSOAP S 3R
611710	16	0	RAWER 6660
611738	16	0	포도씨추출물(H)
611799	16	0	BLUEBERRY LF-622W
611820	16	0	MUNAPSYS
611860	16	0	FRAG-95434
611873	16	0	SKINCARE NA09402
611935	16	0	RHEANCE ONE
611956	16	0	SUN CARE GS73208
611992	16	0	KMP-590
610169	15	0	Beraclay Gold
610197	15	0	카카오색소-씨 ＃M1216 (카카오추출물)
610298	15	0	CUCURBITA EXTRACT
610331	15	0	대나무 수-WP
610336	15	0	ACULYN™ 2051 Rheology Modifier
610395	15	0	FINSOLV TN
610432	15	0	가지 EXTRACT(HD-D)
610468	15	0	홍차 EXTRACT(L)(HD)
610479	15	0	HWF COMPLEX
610530	15	0	JEWELRY EXTRACT-7PE
610558	15	0	금설
610595	15	0	LAVENDER EXTRACT(JQC)(HD)
610680	15	0	MAKIMOUSSE 25
610685	15	0	모로코 클레이 Extract(HD)
610701	15	0	녹조류 Complex(HD)
610738	15	0	오렌지 추출물
610798	15	0	PHYTO STEM CELL-EDELWEISS (S)
610815	15	0	프로폴리스추출물(L)(H)
610823	7	1	POMEGRANATE EXFOLIATOR 500
610862	15	0	Rain Forest RF3110
610879	15	0	10-SEED COMPLEX
610882	15	0	SUNFLOWER OIL
610929	15	0	수래국화 EXTRACT(HD)
610954	8	1	Sodium hyaluronate Solution(Humedix 0.1%)
610982	15	0	산양삼 추출물-GS
610999	15	0	Saline Water(HD)
611059	15	0	탄산파우더
611070	15	0	은행잎 EXTRACT(HD)
611104	15	0	우유추출물-GS
611108	15	0	WAWHITE
611201	15	0	ALOE 4P06456
611210	7	1	BLUE WOMAN3983
611212	15	0	BLUEBERRY AL
611252	15	0	Double Nature FW9027124 CSN000994
611472	15	0	SKIN CARE S1800733
611522	15	0	SKIN-8W
611541	15	0	SKIN CARE S1801190
611546	15	0	MICRO PEARL EXTRACT
611549	15	0	MSI Complex(HD)
611558	15	0	Sphere(W)_Yellow-1B(17GBRA)
611584	15	0	NFC_MadeCera Moisture Capsule™
611602	15	0	SOYPOL-SP(H)
611622	15	0	삼백초Extract(HD)
611639	15	0	[PF]SKIN CARE GS86242
611652	15	0	Bamboo Water(AN)
611666	15	0	MELON-207W
611725	15	0	아라비아고무나무검추출물
611739	15	0	YULMU 3 COMPLEX
611744	15	0	HONEY BUTTER-466B
611751	15	0	도화추출물
611752	15	0	매화추출물
611754	15	0	HYDRAGLOBAL DESERT ROSE S-GLY
611849	15	0	SKIN CARE S1901594
611882	15	0	GUCE7445
611890	15	0	뉴트리언트 5에너지 콤플렉스
611893	15	0	PACK GS96683
611901	15	0	SOLAGUM AX
611952	15	0	LAVENDER-5W
610054	14	0	알로에베라잎추출물(PF)(HD)
610186	14	0	황색4호
610204	14	0	초정탄산수-PA
610266	14	0	CHAMOMILE EXTRACT(HD)(BG)
610299	14	0	치자추출물-KH
610399	14	0	Frescolat ML Crystal
610425	14	0	국화 EXTRACT(HD)
610525	14	0	제주 카렌둘라 추출물
610549	14	0	JEJU 산딸기 EXTRACT(L)(HD)
610615	14	0	리치추출물
610627	14	0	Marine Collagen Solution 소재 관련 문의 답변 건
610645	14	0	MAKIMOUSSE 12
610704	14	0	눈연꽃추출물
610744	14	0	O-JI RELIEF COMPLEX(오지탕)
610745	14	0	옥수수추출물
610765	14	0	PALMAC 98-16(PALMITIC ACID)
610892	14	0	SF0005Z(SERASENSE SF CM 5)
610912	14	0	상백피 EXTRACT
610915	14	0	SILK AMINOS(HD)
610955	14	0	Synthalen CR
610956	14	0	SC FLOWER(H)
610959	14	0	SYNSTAR PURPLE KT-7419
610980	14	0	산호초추출물
610991	14	0	Squeeze White Complex(HD)
610993	14	0	Squezze Purple Complex(HD)
610995	14	0	Squeeze Red Complex(HD)
611029	14	0	THIAMINE HYDROCHLORIDE
611033	14	0	TSF 451-0.65
611116	14	0	6년근 고려 인삼(풍기)-개정
611220	5	1	BODY CARE BP 1611421
611264	14	0	E.O BLEND EA06647
611299	14	0	FINESTONE CO 48567B
611467	14	0	ANC0154
611471	14	0	SKIN&PACK GS77008
611538	14	0	PEACH 18A0463
611564	14	0	TISG
611648	14	0	GREENOL H
611656	14	0	알로에베라잎즙
611658	14	0	MASK NA02830
611770	14	0	SKINCARE S1801207
611810	14	0	FRAG-37400 (토니모리리퀴드 리뉴얼 향-알러젠프리X)
611864	14	0	SKINCARE GS96094
611887	14	0	PACK GS95243
611892	14	0	SKINCARE NA08609
611905	14	0	CETIOL B
610004	4	1	ARGIRELINE SOLUTION(ACETY HEXAPEPTIDE-1)
610052	12	0	아몬드 EXTRACT(HD)
610062	12	0	Algae Ext.(H)
610091	13	0	베리베리 추출물
610105	12	0	바닐라열매 추출물
610120	12	0	발효마유
610122	13	0	백합 EXTRACT(HD)
610137	13	0	BLUEMALLOW EXTRACT(HD-D)
610150	12	0	병아리콩추출물(HD)
610166	12	0	Bioptimized™ Guava
610171	12	0	불가사리 Extract(HD)
610185	13	0	적색2호
610222	4	1	COSMI KC111
610257	12	0	천궁추출물
610281	12	0	COSMETICA SUPER WHITE 9000S
610282	12	0	CESAGUM LN-1
610316	12	0	딸기씨 오일
610351	13	0	달맞이꽃종자유
610367	13	0	EN 5 COMPLEX
610375	13	0	엘더배리추출물(H)
610396	13	0	Flexible-Edelweiss
610402	12	0	Gigawhite Solution
610407	12	0	귀리가루 추출물
610424	12	0	금분
610426	12	0	GREEN WATER
610428	13	0	GLUTAMATE DOE-120
610429	12	0	곡물파우더 COMPLEX
610456	12	0	홍삼수
610492	13	0	흑효모발효물(HD)
